Diameter,Height,Length,Rings,Sex,ShellWeight,ShuckedWeight,VisceraWeight,WholeWeight
0.35000000000000003,0.145,0.47000000000000003,11.0,F,0.18,0.187,0.12350000000000001,0.5175000000000001
0.375,0.15,0.49,9.0,F,0.19,0.22,0.14400000000000002,0.5755
0.355,0.15,0.445,11.0,F,0.155,0.181,0.125,0.485
0.38,0.105,0.425,10.0,I,0.1,0.1285,0.0785,0.3265
0.37,0.135,0.5,9.0,F,0.155,0.1715,0.10550000000000001,0.45
0.29,0.125,0.39,7.0,F,0.09,0.121,0.082,0.3055
0.27,0.085,0.365,7.0,I,0.07,0.078,0.0485,0.20500000000000002
0.465,0.165,0.58,11.0,F,0.35000000000000003,0.404,0.20950000000000002,1.1015
0.41500000000000004,0.16,0.53,15.0,F,0.245,0.29350000000000004,0.158,0.783
0.445,0.135,0.555,13.0,M,0.275,0.336,0.1625,0.836
0.44,0.17500000000000002,0.5650000000000001,14.0,M,0.325,0.31,0.193,0.9025000000000001
0.505,0.215,0.625,22.0,M,0.435,0.496,0.28700000000000003,1.4455
0.215,0.075,0.275,7.0,I,0.035,0.0485,0.029,0.1155
0.35000000000000003,0.135,0.44,12.0,I,0.125,0.18150000000000002,0.083,0.435
0.225,0.08,0.295,9.0,I,0.04,0.0485,0.032,0.124
0.055,0.01,0.075,1.0,I,0.0015,0.001,0.0005,0.002
0.1,0.03,0.13,3.0,I,0.004,0.0045000000000000005,0.003,0.013000000000000001
0.09,0.03,0.11,3.0,I,0.003,0.0025,0.002,0.008
0.12,0.035,0.16,5.0,I,0.005,0.007500000000000001,0.0045000000000000005,0.021
0.425,0.16,0.5650000000000001,17.0,M,0.275,0.34950000000000003,0.2185,0.9425
0.2,0.07,0.27,5.0,I,0.035,0.034,0.0245,0.1
0.17500000000000002,0.065,0.23,5.0,I,0.02,0.026000000000000002,0.0105,0.0645
0.23,0.08,0.30000000000000004,8.0,I,0.04,0.043500000000000004,0.026500000000000003,0.1275
0.255,0.085,0.33,8.0,I,0.06,0.063,0.039,0.1655
0.26,0.085,0.35000000000000003,10.0,I,0.06,0.07050000000000001,0.0345,0.17400000000000002
0.245,0.08,0.32,13.0,I,0.05,0.0635,0.0325,0.1585
0.275,0.085,0.36,9.0,I,0.07,0.0745,0.0415,0.1975
0.245,0.075,0.305,7.0,I,0.045,0.0675,0.038,0.156
0.27,0.11,0.34500000000000003,7.0,I,0.07,0.082,0.0545,0.21350000000000002
0.25,0.105,0.33,7.0,I,0.06,0.0655,0.035,0.1715
0.47000000000000003,0.18,0.59,13.0,M,0.36,0.42050000000000004,0.2805,1.1235
0.455,0.155,0.595,12.0,F,0.30000000000000004,0.5135000000000001,0.2165,1.0605
0.46,0.185,0.5750000000000001,15.0,F,0.34500000000000003,0.4485,0.217,1.094
0.495,0.165,0.6000000000000001,15.0,M,0.34,0.485,0.2775,1.2415
0.45,0.17500000000000002,0.56,15.0,M,0.37,0.3835,0.20650000000000002,1.011
0.45,0.185,0.56,19.0,M,0.41000000000000003,0.3805,0.17500000000000002,1.07
0.46,0.16,0.545,10.0,M,0.34500000000000003,0.341,0.1655,0.8975000000000001
0.505,0.17,0.635,15.0,F,0.365,0.605,0.297,1.415
0.47500000000000003,0.16,0.59,13.0,F,0.295,0.47750000000000004,0.2555,1.1015
0.47500000000000003,0.155,0.54,11.0,F,0.26,0.394,0.194,0.928
0.44,0.125,0.5700000000000001,12.0,F,0.27,0.3675,0.17250000000000001,0.865
0.42,0.165,0.53,11.0,M,0.245,0.319,0.23900000000000002,0.8945000000000001
0.195,0.06,0.245,4.0,I,0.026000000000000002,0.044500000000000005,0.0245,0.095
0.2,0.08,0.27,6.0,M,0.04,0.0465,0.028,0.12050000000000001
0.38,0.13,0.46,11.0,F,0.16,0.30000000000000004,0.1525,0.639
0.45,0.15,0.52,14.0,M,0.23500000000000001,0.36150000000000004,0.186,0.895
0.275,0.11,0.35000000000000003,8.0,M,0.09050000000000001,0.12250000000000001,0.0635,0.29250000000000004
0.39,0.15,0.47000000000000003,9.0,M,0.255,0.2185,0.08850000000000001,0.6355000000000001
0.36,0.125,0.45,13.0,F,0.17,0.20350000000000001,0.1,0.4995
0.525,0.215,0.64,22.0,F,0.55,0.4535,0.28550000000000003,1.779
0.5,0.2,0.59,16.0,M,0.37,0.41200000000000003,0.2705,1.187
0.485,0.20500000000000002,0.62,14.0,M,0.385,0.3875,0.2505,1.219
0.505,0.225,0.63,15.0,M,0.45,0.56,0.3335,1.525
0.515,0.155,0.63,13.0,M,0.41000000000000003,0.41050000000000003,0.197,1.259
0.54,0.215,0.655,22.0,M,0.585,0.7425,0.327,1.8439999999999999
0.53,0.185,0.66,12.0,F,0.49,0.493,0.245,1.3485
0.5,0.24,0.61,18.0,M,0.6900000000000001,0.532,0.3345,1.642
0.525,0.20500000000000002,0.635,20.0,M,0.43,0.55,0.3115,1.484
0.425,0.135,0.515,11.0,F,0.25,0.2665,0.1605,0.712
0.41500000000000004,0.185,0.535,15.0,F,0.30000000000000004,0.314,0.1585,0.8415
0.28500000000000003,0.105,0.36,7.0,I,0.075,0.0915,0.057,0.24150000000000002
0.355,0.12,0.455,9.0,F,0.15,0.177,0.10400000000000001,0.4495
0.395,0.14,0.485,14.0,M,0.225,0.2285,0.127,0.6295000000000001
0.38,0.17500000000000002,0.515,14.0,M,0.31,0.325,0.158,0.9565
0.41500000000000004,0.17,0.535,10.0,F,0.28500000000000003,0.295,0.1965,0.879
0.435,0.155,0.53,10.0,M,0.20500000000000002,0.28800000000000003,0.1595,0.6990000000000001
0.4,0.155,0.495,17.0,F,0.20500000000000002,0.242,0.1325,0.6445000000000001
0.355,0.125,0.44,9.0,M,0.19,0.132,0.0815,0.47750000000000004
0.435,0.16,0.535,10.0,F,0.24,0.3155,0.17950000000000002,0.8105
0.435,0.18,0.54,17.0,M,0.325,0.3835,0.226,0.996
0.505,0.21,0.5650000000000001,12.0,F,0.355,0.501,0.279,1.2765
0.47500000000000003,0.165,0.61,15.0,M,0.315,0.428,0.2205,1.116
0.455,0.17500000000000002,0.5650000000000001,19.0,F,0.35000000000000003,0.342,0.20700000000000002,1.013
0.495,0.195,0.6000000000000001,26.0,M,0.375,0.384,0.19,1.0575
0.215,0.085,0.295,6.0,I,0.04,0.049,0.034,0.128
0.20500000000000002,0.075,0.275,6.0,I,0.035,0.045,0.0285,0.1105
0.21,0.085,0.28,4.0,I,0.03,0.039,0.029500000000000002,0.10650000000000001
0.395,0.14,0.49,11.0,M,0.15,0.2215,0.1275,0.549
0.28,0.105,0.37,9.0,M,0.075,0.09050000000000001,0.0585,0.234
0.305,0.095,0.405,9.0,F,0.1,0.14550000000000002,0.08950000000000001,0.34850000000000003
0.435,0.17500000000000002,0.54,13.0,F,0.335,0.322,0.17400000000000002,0.892
0.28,0.1,0.37,8.0,M,0.074,0.10650000000000001,0.059500000000000004,0.252
0.27,0.1,0.36,6.0,M,0.07150000000000001,0.08850000000000001,0.0495,0.217
0.36,0.13,0.47000000000000003,10.0,F,0.15,0.182,0.114,0.47200000000000003
0.145,0.06,0.2,4.0,I,0.011,0.0125,0.0095,0.037
0.12,0.03,0.165,3.0,I,0.005,0.007,0.005,0.021500000000000002
0.515,0.24,0.645,13.0,M,0.535,0.47100000000000003,0.369,1.5415
0.41000000000000003,0.125,0.55,14.0,M,0.195,0.2505,0.1635,0.7605000000000001
0.435,0.145,0.5700000000000001,10.0,M,0.275,0.3925,0.23550000000000001,0.9055000000000001
0.485,0.19,0.63,21.0,F,0.39,0.4635,0.3055,1.2435
0.44,0.14,0.56,14.0,M,0.265,0.443,0.20450000000000002,0.971
0.455,0.195,0.595,19.0,M,0.34500000000000003,0.4595,0.3235,1.3305
0.47000000000000003,0.2,0.62,23.0,F,0.435,0.381,0.27,1.2255
0.485,0.17500000000000002,0.63,23.0,M,0.46,0.4335,0.29450000000000004,1.3
0.355,0.11,0.45,8.0,I,0.14,0.194,0.067,0.4585
0.535,0.19,0.635,14.0,F,0.39,0.5760000000000001,0.24750000000000003,1.242
0.35000000000000003,0.1,0.45,10.0,M,0.12,0.14650000000000002,0.1015,0.3675
0.455,0.155,0.58,18.0,F,0.32,0.315,0.1385,0.8365
0.255,0.095,0.33,6.0,I,0.06,0.066,0.025500000000000002,0.17200000000000001
0.21,0.06,0.265,5.0,I,0.03,0.0425,0.022,0.0965
0.145,0.04,0.19,4.0,I,0.015,0.0165,0.006500000000000001,0.038
0.31,0.1,0.385,11.0,M,0.1,0.10650000000000001,0.075,0.28450000000000003
0.20500000000000002,0.07,0.265,5.0,I,0.035,0.039,0.041,0.10550000000000001
0.265,0.105,0.335,7.0,M,0.075,0.0935,0.056,0.222
0.275,0.09,0.355,7.0,I,0.08,0.097,0.053,0.251
0.255,0.1,0.32,7.0,I,0.065,0.073,0.0415,0.17550000000000002
0.4,0.13,0.51,12.0,M,0.20500000000000002,0.27,0.1665,0.6435000000000001
0.295,0.105,0.36,8.0,M,0.095,0.08650000000000001,0.053,0.241
0.28,0.09,0.36,8.0,I,0.09,0.08850000000000001,0.04,0.2255
0.38,0.155,0.5,12.0,M,0.2,0.21350000000000002,0.161,0.5955
0.325,0.12,0.4,8.0,F,0.095,0.134,0.0565,0.3185
0.22,0.08,0.30000000000000004,5.0,I,0.035,0.0475,0.042,0.121
0.17500000000000002,0.04,0.23500000000000001,5.0,I,0.02,0.0335,0.015,0.07050000000000001
0.6000000000000001,0.195,0.74,16.0,F,0.71,0.598,0.40850000000000003,1.974
0.465,0.19,0.62,11.0,M,0.355,0.5705,0.3175,1.3415
0.47500000000000003,0.19,0.6000000000000001,14.0,M,0.325,0.403,0.2655,1.0875
0.45,0.185,0.59,16.0,M,0.425,0.47300000000000003,0.276,1.283
0.47500000000000003,0.185,0.62,13.0,M,0.33,0.6045,0.325,1.325
